country,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,17.9,15.5,14.1,12,10.5,10.1,9.6,9,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,,,,,,,80.9,,,,,78,,,79.8,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.2,0.5,0.3,0.4,0.3,0,0,0.1,0.2,0.2,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,15,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,8.3,8.6,8,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,59.2,,,,32.7,,,,,11.4,,,9.6,6.6,4.1,,3,,6.5,,5.2
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,,,,,,92.3,,,,,,88.9,,,,,,82.4,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,65.7,,,,,,69.6,,49.7,,,,,45.5,,,,42.5,,,,34.4,,,,,,24.1,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,3.2,,,,,2.2,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,90.8,,,,,,89.2,,,,,,89.6,,
Malaysia,,,,,,,,,,,,,,,,,12.9,,,12.7,,11.7,,,11.8,,,11.5,,7.3,,,,,,,2.6,,,3.4,4.3,,,1.2,,0.4,,0.2,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,,,,,,48,,,,,,30.3,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,94,,94,,,,,,,,,,,90.9,,90.6,,,,83.7,,,77.2,,,,
Nigeria,,,,,,,,,,,,,,,,,,80.4,,,,,,,79,,,,83.4,,,,,,,81.7,,,,,,79.5,,,,,,,,,71
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,,,,,46.2,,,38.2,,,,27.4,,,,23,,,,,13.1,,,,
Netherlands,,,,,,,,,,,,,,,,1.5,,,,0.5,,,1.5,,,2,,,,,,0.5,,,,,0.4,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.3,
Norway,,,,,,,,,,,,0.5,,,,,,,0.2,,,,,0.5,,,,0.5,,,,,0.2,,,0.2,0.3,0.3,0.3,0.2,0.3,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.4,0.3,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7,,,,,,,,77.9,,,,,,,50.8,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,88,,,87.4,,,,,,63.7,,66.2,,,72.5,,,60.5,59.8,,55.6,,,48,46.6,,40,,35.1,,,
Panama,,,,,,,,,,,,20.9,,,,,,,,,,34.3,,31.3,,,,24.7,,23.3,23.6,21.2,20.1,24.9,21.6,20.5,19.6,18.6,19,16.5,11.8,9.5,10.7,8.6,10,8.1,8.3,6.7,7,6.3,5.2
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,31.9,33.1,30.9,33.1,29.7,28,28.6,30.9,27,23.2,19.6,17.3,14.9,13.4,12.3,11.5,10.7,10.4,10.1,9.9,8.5
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,,36,,,38.2,,,34,,,33.3,,,25.8,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6,,,,,,,,,,,,,65.6,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.4,1.6,1.1,0.6,0.9,1,0.8,0.7,0.9,1,0.8,0.5,0.6,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1,1.1,0.5,0.8,0.9,0.4,0.4,0.9,1.5,1.6,1.4,1.1,0.7,0.7,
