,Origin,Dest,Month,Prediction,lower,upper,origin_lon,origin_lat,dest_lon,dest_lat,dest_p_no_outbreak,risk_ij,risk_i,dest_municipality,dest_name,dest_region,dest_continent
20162,MSP,DLH,10,5488,5067,5945.0,-93.21,44.88,-92.18,46.84,1.0,0.0,0.07132543471919928,Duluth,Duluth International Airport,US-MN,NA
20163,ORD,DLH,10,2342,2151,2549.0,-87.99,41.98,-92.18,46.84,1.0,0.0,0.24052309468401256,Duluth,Duluth International Airport,US-MN,NA
20164,SFB,DLH,10,918,774,1090.0,-81.24,28.78,-92.18,46.84,1.0,0.0,0.0013962295585110418,Duluth,Duluth International Airport,US-MN,NA
20165,HAN,DLI,10,2663,2253,3147.0,105.8,21.21,108.38,11.75,1.0,0.0,0.15005694732597186,Da Lat,Lien Khuong Airport,VN-35,AS
20166,SGN,DLI,10,4993,4106,6072.0,106.66,10.81,108.38,11.75,1.0,0.0,0.16782674807977316,Da Lat,Lien Khuong Airport,VN-35,AS
20167,KMG,DLU,10,869,714,1059.0,102.74,25.0,100.32,25.65,1.0,0.0,0.1778148610103506,Xiaguan,Dali Airport,CN-53,AS
20168,SFO,DTW,10,15369,14872,15883.0,-122.39,37.62,-83.36,42.21,1.0,0.0,0.21412398185515635,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20169,SLC,DTW,10,17520,16889,18175.0,-111.98,40.79,-83.36,42.21,1.0,0.0,0.03644107684369724,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20170,SNA,DTW,10,2986,2822,3159.0,-117.86,33.68,-83.36,42.21,1.0,0.0,0.011568906433822246,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20171,STL,DTW,10,21505,20823,22209.0,-90.37,38.74,-83.36,42.21,1.0,0.0,0.027797454344851147,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20172,SYR,DTW,10,6584,6321,6857.0,-76.11,43.11,-83.36,42.21,1.0,0.0,0.017520328713899747,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20173,TOL,DTW,10,2109,1854,2400.0,-83.81,41.59,-83.36,42.21,1.0,0.0,0.0004474167078328817,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20174,TPA,DTW,10,21051,20292,21839.0,-82.54,27.98,-83.36,42.21,1.0,0.0,0.051318259317327364,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20175,TRI,DTW,10,1072,1010,1137.0,-82.41,36.48,-83.36,42.21,1.0,0.0,0.0,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20176,TYS,DTW,10,3771,3593,3957.0,-83.99,35.81,-83.36,42.21,1.0,0.0,0.0036814136584985002,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20177,ACT,DFW,10,4733,4246,5276.0,-97.22,31.61,-97.04,32.9,1.0,0.0,0.0,Dallas-Fort Worth,Dallas Fort Worth International Airport,US-TX,NA
20178,YOW,DTW,10,2262,2155,2375.0,-75.67,45.32,-83.36,42.21,1.0,0.0,0.01774393832034682,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20179,YQB,DTW,10,1720,1623,1823.0,-71.38,46.79,-83.36,42.21,1.0,0.0,0.005846862547115528,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20180,YUL,DTW,10,6753,6482,7034.0,-73.75,45.46,-83.36,42.21,1.0,0.0,0.07590231334721254,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20181,YXU,DTW,10,1990,1837,2155.0,-81.15,43.03,-83.36,42.21,1.0,0.0,0.0013503809138213363,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20182,YYZ,DTW,10,8527,8165,8906.0,-79.61,43.68,-83.36,42.21,1.0,0.0,0.13438322406067327,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
20183,ABZ,DUB,10,1949,1844,2061.0,-2.2,57.2,-6.24,53.43,1.0,0.0,0.03007474274715427,Dublin,Dublin Airport,IE-D,EU
20184,ACE,DUB,10,5032,4628,5472.0,-13.61,28.95,-6.24,53.43,1.0,0.0,0.010716162292569442,Dublin,Dublin Airport,IE-D,EU
20185,AGA,DUB,10,1126,1040,1219.0,-9.56,30.38,-6.24,53.43,1.0,0.0,0.018104203369268212,Dublin,Dublin Airport,IE-D,EU
20186,AGP,DUB,10,16697,15912,17522.0,-4.49,36.68,-6.24,53.43,1.0,0.0,0.07093199563485053,Dublin,Dublin Airport,IE-D,EU
20187,ALC,DUB,10,4200,3996,4414.0,-0.56,38.29,-6.24,53.43,1.0,0.0,0.040416437922887405,Dublin,Dublin Airport,IE-D,EU
20188,AMS,DUB,10,22527,21427,23683.0,4.76,52.31,-6.24,53.43,1.0,0.0,0.27803602031716124,Dublin,Dublin Airport,IE-D,EU
20189,ARN,DUB,10,2581,2437,2732.0,17.93,59.65,-6.24,53.43,1.0,0.0,0.07450345080840037,Dublin,Dublin Airport,IE-D,EU
20190,ATL,DUB,10,5511,5293,5738.0,-84.44,33.64,-6.24,53.43,1.0,0.0,0.19295304173114924,Dublin,Dublin Airport,IE-D,EU
20191,AUH,DUB,10,8794,8236,9390.0,54.65,24.43,-6.24,53.43,1.0,0.0,0.1254751785859458,Dublin,Dublin Airport,IE-D,EU
20192,LAS,DLH,10,1001,911,1100.0,-115.15,36.09,-92.18,46.84,1.0,0.0,0.08547382053125196,Duluth,Duluth International Airport,US-MN,NA
20193,DTW,DLH,10,2237,2066,2422.0,-83.36,42.21,-92.18,46.84,1.0,0.0,0.09255956941629317,Duluth,Duluth International Airport,US-MN,NA
20194,ZRH,DLA,10,2384,2134,2662.0,8.56,47.45,9.72,4.01,1.0,0.0,0.1520936753761577,Douala,Douala International Airport,CM-LT,AF
20195,SSG,DLA,10,635,346,1165.0,8.72,3.76,9.72,4.01,1.0,0.0,0.0025231898632538385,Douala,Douala International Airport,CM-LT,AF
20196,MNL,DGT,10,13319,11038,16073.0,121.01,14.51,123.3,9.33,1.0,0.0,0.24387656730404328,Dumaguete City,Sibulan Airport,PH-NER,AS
20197,CCU,DIB,10,7549,5588,10200.0,88.44,22.65,95.02,27.48,1.0,0.0,0.1858657349942382,Dibrugarh,Dibrugarh Airport,IN-AS,AS
20198,GAU,DIB,10,1939,1260,2983.0,91.59,26.11,95.02,27.48,1.0,0.0,0.05047316262498336,Dibrugarh,Dibrugarh Airport,IN-AS,AS
20199,DPS,DIL,10,1279,1093,1495.0,115.16,-8.74,125.53,-8.55,1.0,0.0,0.14796091440693315,Dili,Presidente Nicolau Lobato International Airport,TL-DI,AS
20200,DRW,DIL,10,812,670,985.0,130.88,-12.41,125.53,-8.55,1.0,0.0,0.0037829016530541715,Dili,Presidente Nicolau Lobato International Airport,TL-DI,AS
20201,SIN,DIL,10,930,799,1083.0,103.99,1.36,125.53,-8.55,1.0,0.0,0.5035341057418086,Dili,Presidente Nicolau Lobato International Airport,TL-DI,AS
20202,ADD,DIR,10,2097,1562,2816.0,38.8,8.98,41.86,9.61,1.0,0.0,0.04039782073845244,Dire Dawa,Aba Tenna Dejazmach Yilma International Airport,ET-DD,AF
20203,JIJ,DIR,10,352,174,709.0,42.77,9.37,41.86,9.61,1.0,0.0,0.0,Dire Dawa,Aba Tenna Dejazmach Yilma International Airport,ET-DD,AF
20204,ADB,DIY,10,1514,1366,1677.0,27.15,38.29,40.2,37.9,1.0,0.0,0.09292545204710789,Diyarbakir,Diyarbakir Airport,TR-21,AS
20205,ESB,DIY,10,5703,5201,6254.0,32.99,40.11,40.2,37.9,1.0,0.0,0.07406994295140179,Diyarbakir,Diyarbakir Airport,TR-21,AS
20206,IST,DIY,10,8003,7451,8597.0,28.82,40.98,40.2,37.9,1.0,0.0,0.14838747085597936,Diyarbakir,Diyarbakir Airport,TR-21,AS
20207,SAW,DIY,10,3908,3577,4269.0,29.31,40.9,40.2,37.9,1.0,0.0,0.010988796509209364,Diyarbakir,Diyarbakir Airport,TR-21,AS
20208,CGK,DJB,10,14764,11553,18868.0,106.66,-6.13,103.64,-1.63,1.0,0.0,0.12058509841194343,Jambi-Sumatra Island,Sultan Thaha Airport,ID-JA,AS
20209,SOQ,DJJ,10,864,493,2983.0,131.29,-0.89,140.51,-2.57,1.0,0.0,0.0003619532631308209,Jayapura-Papua Island,Sentani International Airport,ID-PA,AS
20210,UPG,DJJ,10,5555,3705,8328.0,119.55,-5.06,140.51,-2.57,1.0,0.0,0.07263832027559858,Jayapura-Papua Island,Sentani International Airport,ID-PA,AS
20211,ADD,DLA,10,1729,1503,1989.0,38.8,8.98,9.72,4.01,1.0,0.0,0.04039782073845244,Douala,Douala International Airport,CM-LT,AF
20212,BGF,DLA,10,1006,769,1314.0,18.52,4.4,9.72,4.01,1.0,0.0,0.0010137416331573723,Douala,Douala International Airport,CM-LT,AF
20213,BRU,DLA,10,2529,2263,2827.0,4.48,50.9,9.72,4.01,1.0,0.0,0.09601982900493511,Douala,Douala International Airport,CM-LT,AF
20214,CDG,DLA,10,5298,4718,5949.0,2.57,49.0,9.72,4.01,1.0,0.0,0.36857735464721275,Douala,Douala International Airport,CM-LT,AF
20215,CMN,DLA,10,1577,1389,1791.0,-7.59,33.37,9.72,4.01,1.0,0.0,0.06855837816045562,Douala,Douala International Airport,CM-LT,AF
20216,COO,DLA,10,323,266,393.0,2.39,6.35,9.72,4.01,1.0,0.0,0.007045857279658008,Douala,Douala International Airport,CM-LT,AF
20217,FIH,DLA,10,1086,892,1323.0,15.45,-4.39,9.72,4.01,1.0,0.0,0.005315545213875561,Douala,Douala International Airport,CM-LT,AF
20218,LBV,DLA,10,4393,2645,7295.0,9.41,0.46,9.72,4.01,1.0,0.0,0.004622726179888348,Douala,Douala International Airport,CM-LT,AF
20219,LFW,DLA,10,1165,985,1377.0,1.25,6.17,9.72,4.01,1.0,0.0,0.0044472185515306295,Douala,Douala International Airport,CM-LT,AF
20220,LOS,DLA,10,2637,2267,3068.0,3.32,6.58,9.72,4.01,1.0,0.0,0.03565937359026383,Douala,Douala International Airport,CM-LT,AF
20221,NBO,DLA,10,2190,1933,2480.0,36.93,-1.32,9.72,4.01,1.0,0.0,0.05151975465610581,Douala,Douala International Airport,CM-LT,AF
